,yjt,X2,X1,Day,PID
1,-2.25682713,-0.442680328,0.825333129,1,1
2,-2.629515439,-0.442680328,0.825333129,2,1
3,-1.949236908,-0.442680328,0.825333129,3,1
4,-2.083774714,-0.442680328,0.825333129,4,1
5,-2.762350432,-0.442680328,0.825333129,5,1
6,-1.746052615,-0.442680328,0.825333129,6,1
7,-2.344516965,-0.442680328,0.825333129,7,1
8,-2.301192523,-0.442680328,0.825333129,8,1
9,-2.154240587,-0.442680328,0.825333129,9,1
10,-2.513315318,-0.442680328,0.825333129,10,1
11,-2.692393476,-0.442680328,0.825333129,11,1
12,-1.249602997,-0.442680328,0.825333129,12,1
13,-1.771453516,-0.442680328,0.825333129,13,1
14,-3.446973996,-0.442680328,0.825333129,14,1
15,-1.860662482,-0.442680328,0.825333129,15,1
16,-3.189618678,-0.442680328,0.825333129,16,1
17,-1.496862942,-0.442680328,0.825333129,17,1
18,-2.681840644,-0.442680328,0.825333129,18,1
19,-2.136136158,-0.442680328,0.825333129,19,1
20,-3.276199104,-0.442680328,0.825333129,20,1
21,-3.798633771,-0.442680328,0.825333129,21,1
22,-1.351811004,-0.442680328,0.825333129,22,1
23,-2.668938103,-0.442680328,0.825333129,23,1
24,-3.283475201,-0.442680328,0.825333129,24,1
25,-1.804085005,-0.442680328,0.825333129,25,1
26,-2.92363453,-0.442680328,0.825333129,26,1
27,-2.137342428,-0.442680328,0.825333129,27,1
28,-1.570954808,-0.442680328,0.825333129,28,1
29,-1.864665516,-0.442680328,0.825333129,29,1
30,-1.8009357,-0.442680328,0.825333129,30,1
31,-2.350139476,-0.442680328,0.825333129,31,1
32,-2.521942263,-0.442680328,0.825333129,32,1
33,-1.279588827,-0.442680328,0.825333129,33,1
34,-0.404248284,0.781159028,0.825333129,34,1
35,-2.414310555,-0.442680328,0.825333129,35,1
36,-1.658096972,-0.442680328,0.825333129,36,1
37,-1.559609486,-0.442680328,0.825333129,37,1
38,-1.909518099,-0.442680328,0.825333129,38,1
39,-1.050843264,-0.442680328,0.825333129,39,1
40,-2.127926568,-0.442680328,0.825333129,40,1
